assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,date
0,0,67,,,0,11334,0,0,0,0,0.0,0,0,1,4.0,3.5,3,Petr,3.0,6,0,12.8,1,False,127.8,0,0,0,0,270,,,50,0,0,0,11334.jpg,3.0,0,18,Cech,2.0,False,1.0,a,1,3,0.0,9,26963,1354,17632,751,0.6,1.8,Cech,0,2018-08-26
0,0,0,,,0,80201,0,0,-1,1,0.0,0,0,1,1.0,0.5,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,,49,0,0,0,80201.jpg,0.0,0,0,Leno,1.7,False,19.0,a,1,3,0.0,0,3027,67,37033,1932,0.0,0.0,Leno,0,2018-08-26
0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Expected back 11 Nov,2018-07-05T14:31:07Z,55,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6.0,i,1,3,0.0,0,199,5,2377,104,0.0,0.0,Koscielny,0,2018-08-26
1,0,58,,,0,98745,0,0,0,0,50.8,0,0,2,3.3,2.8,5,Héctor,2.3,6,0,15.7,4,False,72.8,0,0,0,0,270,,,55,0,0,0,98745.jpg,2.3,0,0,Bellerín,12.4,False,2.0,a,1,3,33.0,7,52641,4081,185243,4151,0.4,1.3,Bellerín,0,2018-08-26
0,2,41,100.0,100.0,0,38411,0,0,0,0,19.1,1,0,2,4.7,4.2,10,Nacho,3.7,4,1,13.7,5,False,59.6,0,0,0,0,180,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,5.5,0,0,Monreal,1.0,False,18.0,a,1,3,59.0,11,18651,5136,16055,391,0.7,2.0,Monreal,0,2018-08-26
0,0,0,,,0,156074,-1,1,-1,1,0.0,0,0,2,1.0,0.5,0,Rob,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,,,44,0,0,0,156074.jpg,0.0,0,0,Holding,0.6,False,16.0,a,1,3,0.0,0,1913,73,9638,438,0.0,0.0,Holding,0,2018-08-26
0,0,47,,,0,69140,0,0,0,0,11.2,0,0,2,2.0,1.5,2,Shkodran,1.0,6,0,14.4,7,False,94.2,0,0,0,0,270,,,55,0,0,0,69140.jpg,1.0,0,0,Mustafi,1.2,False,20.0,a,1,3,38.0,3,3949,164,18679,633,0.2,0.5,Mustafi,1,2018-08-26
0,0,0,0.0,0.0,0,111457,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 07 Oct,2018-08-02T07:01:09Z,49,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.4,False,31.0,i,1,3,0.0,0,323,9,14807,337,0.0,0.0,Kolasinac,0,2018-08-26
0,0,0,,,0,233963,0,0,-1,1,0.0,0,0,2,1.0,0.5,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,,49,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.2,False,27.0,a,1,3,0.0,0,598,18,4054,163,0.0,0.0,Mavropanos,0,2018-08-26
0,0,0,,,0,27335,0,0,-1,1,5.8,0,0,2,1.3,0.8,0,Stephan,0.3,1,0,0.9,11,False,1.0,0,0,0,0,55,,,49,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,1.8,False,12.0,a,1,3,2.0,1,7084,121,43500,2488,0.1,0.2,Lichtsteiner,0,2018-08-26
