assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,date
0,0,67,,,0,11334,0,0,0,0,0.0,0,0,1,4.0,3.5,3,Petr,3.0,6,0,12.8,1,False,127.8,0,0,0,0,270,,,50,0,0,0,11334.jpg,3.0,0,18,Cech,2.1,False,1.0,a,1,3,0.0,9,29290,3681,18938,2057,0.6,1.8,Cech,0,2018-08-27
0,0,0,,,0,80201,0,0,-1,1,0.0,0,0,1,1.0,0.5,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,,49,0,0,0,80201.jpg,0.0,0,0,Leno,1.7,False,19.0,a,1,3,0.0,0,3098,138,39347,4246,0.0,0.0,Leno,0,2018-08-27
0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Expected back 11 Nov,2018-07-05T14:31:07Z,55,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6.0,i,1,3,0.0,0,211,17,2484,211,0.0,0.0,Koscielny,0,2018-08-27
1,0,58,,,0,98745,0,0,0,0,50.8,0,0,2,3.3,2.8,5,Héctor,2.3,6,0,15.7,4,False,72.8,0,0,0,0,270,,,55,0,0,0,98745.jpg,2.3,0,0,Bellerín,12.3,False,2.0,a,1,3,33.0,7,58313,9753,191267,10175,0.4,1.3,Bellerín,0,2018-08-27
0,2,41,100.0,100.0,0,38411,0,0,0,0,19.1,1,0,2,4.7,4.2,10,Nacho,3.7,4,1,13.7,5,False,59.6,0,0,0,0,180,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,5.5,0,0,Monreal,1.2,False,18.0,a,1,3,59.0,11,27160,13645,17109,1445,0.7,2.0,Monreal,0,2018-08-27
0,0,0,,,0,156074,-1,1,-1,1,0.0,0,0,2,1.0,0.5,0,Rob,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,,,44,0,0,0,156074.jpg,0.0,0,0,Holding,0.6,False,16.0,a,1,3,0.0,0,1966,126,10186,986,0.0,0.0,Holding,0,2018-08-27
0,0,47,,,0,69140,-1,1,-1,1,11.2,0,0,2,2.0,1.5,2,Shkodran,1.0,6,0,14.4,7,False,94.2,0,0,0,0,270,,,54,0,0,0,69140.jpg,1.0,0,0,Mustafi,1.2,False,20.0,a,1,3,38.0,3,4144,359,19645,1599,0.2,0.5,Mustafi,1,2018-08-27
0,0,0,0.0,0.0,0,111457,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 07 Oct,2018-08-02T07:01:09Z,49,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.4,False,31.0,i,1,3,0.0,0,331,17,15210,740,0.0,0.0,Kolasinac,0,2018-08-27
0,0,0,,,0,233963,0,0,-1,1,0.0,0,0,2,1.0,0.5,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,,49,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.2,False,27.0,a,1,3,0.0,0,616,36,4290,399,0.0,0.0,Mavropanos,0,2018-08-27
0,0,0,,,0,27335,0,0,-1,1,5.8,0,0,2,1.3,0.8,0,Stephan,0.3,1,0,0.9,11,False,1.0,0,0,0,0,55,,,49,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,1.7,False,12.0,a,1,3,2.0,1,7193,230,46763,5751,0.1,0.2,Lichtsteiner,0,2018-08-27
0,0,36,,,0,39476,0,0,-1,1,10.7,0,0,2,1.7,1.2,1,Sokratis,0.7,6,0,6.7,12,False,56.4,0,0,0,0,270,,,54,0,0,0,39476.jpg,0.7,0,0,Papastathopoulos,2.0,False,5.0,a,1,3,0.0,2,6076,652,40337,4207,0.1,0.4,Sokratis,2,2018-08-27
0,0,13,,,0,37605,0,0,-1,1,27.0,0,0,3,2.3,1.8,0,Mesut,1.3,4,0,5.5,13,False,10.2,0,0,0,0,157,,,84,0,0,0,37605.jpg,2.0,0,0,Özil,3.5,False,10.0,a,1,3,18.0,4,20463,717,105551,14819,0.2,0.5,Özil,0,2018-08-27
0,0,24,100.0,100.0,0,41792,0,0,-1,1,47.4,0,0,3,2.3,1.8,2,Aaron,1.3,3,0,14.4,14,False,28.8,0,0,0,0,165,,2018-08-02T07:01:09Z,74,0,0,0,41792.jpg,1.3,0,0,Ramsey,1.1,False,8.0,a,1,3,68.0,4,8324,1854,22391,1557,0.2,0.5,Ramsey,0,2018-08-27
1,0,46,,,0,153133,0,0,0,0,38.7,0,0,3,4.7,4.2,4,Alex,3.7,3,1,12.7,15,False,59.4,0,0,0,0,119,,,55,0,0,0,153133.jpg,5.5,0,0,Iwobi,1.6,False,17.0,a,1,3,29.0,11,53741,10928,22043,3128,0.7,2.0,Iwobi,0,2018-08-27
0,0,0,,,0,153256,0,0,-1,1,0.0,0,0,3,1.0,0.5,0,Mohamed,0.0,0,0,0.0,16,False,0.0,0,0,0,0,0,,,44,0,0,0,153256.jpg,0.0,0,0,Elneny,2.4,False,4.0,a,1,3,0.0,0,13440,3088,43659,4729,0.0,0.0,Elneny,0,2018-08-27
0,0,25,,,0,84450,0,0,-1,1,31.7,0,0,3,2.0,1.5,2,Granit,1.0,5,0,6.9,17,False,29.8,0,0,0,0,204,,,54,0,0,0,84450.jpg,1.0,0,0,Xhaka,3.0,False,34.0,a,1,3,7.0,3,6713,601,85686,5390,0.2,0.6,Xhaka,2,2018-08-27
1,2,56,,,0,57249,0,0,1,-1,90.0,1,0,3,6.3,5.8,2,Henrikh,5.3,6,1,27.9,18,False,83.2,0,0,0,0,270,,,71,0,0,0,57249.jpg,5.3,0,0,Mkhitaryan,20.1,False,7.0,a,1,3,106.0,16,524248,55206,173098,17382,0.7,2.3,Mkhitaryan,0,2018-08-27
0,0,0,,,0,200641,-1,1,-1,1,0.0,0,0,3,1.0,0.5,0,Reiss,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,,,44,0,0,0,200641.jpg,0.0,0,0,Nelson,0.7,False,48.0,a,1,3,0.0,0,2268,549,11693,1231,0.0,0.0,Nelson,0,2018-08-27
0,0,7,0.0,0.0,0,154043,-1,1,-1,1,10.3,0,0,3,0.0,0.0,0,Ainsley,0.3,1,0,2.1,20,False,10.8,0,0,0,0,34,Leg injury - Expected back 11 Nov,2018-08-12T16:01:12Z,44,0,0,0,154043.jpg,1.0,0,0,Maitland-Niles,0.4,False,15.0,i,1,3,0.0,1,1359,357,15344,905,0.1,0.2,Maitland-Niles,0,2018-08-27
0,3,30,100.0,100.0,0,50175,0,0,0,0,0.3,0,0,4,3.7,3.2,8,Danny,2.7,0,1,7.3,21,False,38.2,0,0,0,0,15,,2018-08-10T14:01:12Z,65,0,0,0,50175.jpg,8.0,0,0,Welbeck,0.5,False,23.0,a,1,3,34.0,8,4721,2490,12128,764,0.4,1.2,Welbeck,0,2018-08-27
1,0,11,,,0,59966,0,0,-1,1,34.0,0,0,4,3.0,2.5,4,Alexandre,2.0,2,0,8.4,22,False,20.0,0,0,0,0,96,,,94,0,0,0,59966.jpg,2.0,0,0,Lacazette,2.7,False,9.0,a,1,3,33.0,6,17849,2317,102289,5530,0.2,0.6,Lacazette,0,2018-08-27
0,0,13,,,0,54694,-1,1,-1,1,75.6,0,0,4,3.0,2.5,2,Pierre-Emerick,2.0,6,0,15.5,23,False,18.6,0,0,0,0,254,,,109,0,0,0,54694.jpg,2.0,0,0,Aubameyang,15.4,False,14.0,a,1,3,61.0,6,131371,4430,321457,45487,0.2,0.5,Aubameyang,0,2018-08-27
0,0,22,,,0,198849,0,0,-1,1,15.7,0,0,3,2.0,1.5,1,Lucas,1.0,1,0,3.5,450,False,19.2,0,0,0,0,99,,,49,0,0,0,198849.jpg,1.0,0,0,Torreira,1.5,False,11.0,a,1,3,0.0,3,7978,782,31477,3201,0.2,0.6,Torreira,0,2018-08-27
0,0,49,,,0,242166,0,0,0,0,31.4,0,0,3,2.7,2.2,1,Matteo,1.7,6,0,9.6,451,False,49.0,0,0,0,0,235,,,45,0,0,0,242166.jpg,1.7,0,0,Guendouzi,3.2,False,29.0,a,1,3,16.0,5,119572,10997,37787,5614,0.4,1.1,Guendouzi,0,2018-08-27
0,0,41,,,1,40349,0,0,0,0,0.0,0,0,1,2.8,3.3,1,Asmir,3.3,3,0,3.6,24,False,35.6,0,0,0,0,270,,,45,0,0,0,40349.jpg,3.3,0,6,Begovic,4.8,False,27.0,a,2,91,0.0,10,35017,2084,33087,4159,0.7,2.2,Begovic,0,2018-08-27
0,0,0,,,0,18726,0,0,0,0,0.0,0,0,1,-0.5,0.0,0,Artur,0.0,0,0,0.0,25,False,0.0,0,0,0,0,0,,,40,0,0,0,18726.jpg,0.0,0,0,Boruc,6.8,False,1.0,a,2,91,0.0,0,15695,2060,37421,3654,0.0,0.0,Boruc,0,2018-08-27
1,0,20,,,0,15149,0,0,0,0,11.1,0,0,2,1.2,1.7,0,Simon,1.7,0,0,4.5,26,False,29.8,0,0,0,0,35,,,45,0,0,0,15149.jpg,2.5,0,0,Francis,0.4,False,2.0,a,2,91,4.0,5,2923,101,6213,847,0.4,1.1,Francis,0,2018-08-27
1,3,80,,,1,56917,0,0,1,-1,12.1,1,0,2,6.5,7.0,1,Steve,7.0,3,1,17.2,27,False,132.0,0,0,0,0,270,,,46,0,0,0,56917.jpg,7.0,0,0,Cook,8.6,False,3.0,a,2,91,28.0,21,371170,26367,56222,12072,1.5,4.6,Steve Cook,0,2018-08-27
0,0,42,,,1,41320,0,0,0,0,34.9,0,0,2,2.2,2.7,1,Charlie,2.7,3,0,9.1,28,False,48.8,0,0,0,0,270,,,45,0,0,0,41320.jpg,2.7,0,0,Daniels,14.1,False,11.0,a,2,91,8.0,8,40560,2061,156404,20834,0.6,1.8,Daniels,1,2018-08-27
0,0,47,,,1,54469,0,0,0,0,19.7,0,0,2,1.5,2.0,-2,Adam,2.0,3,0,7.2,29,False,42.4,0,0,0,0,240,,,45,0,0,0,54469.jpg,2.0,1,0,Smith,0.7,False,15.0,a,2,91,10.0,6,14905,243,9649,2272,0.4,1.3,Adam Smith,0,2018-08-27
0,0,0,,,0,149484,-1,1,-1,1,0.0,0,0,2,-0.5,0.0,0,Tyrone,0.0,0,0,0.0,30,False,0.0,0,0,0,0,0,,,44,0,0,0,149484.jpg,0.0,0,0,Mings,0.2,False,26.0,a,2,91,0.0,0,366,26,2740,252,0.0,0.0,Mings,0,2018-08-27
0,3,61,100.0,100.0,1,126184,0,0,0,0,1.7,0,0,2,5.5,6.0,8,Nathan,6.0,3,1,11.1,31,False,88.2,0,0,0,0,270,,2018-08-05T11:01:10Z,50,0,0,0,126184.jpg,6.0,0,0,Aké,4.3,False,5.0,a,2,91,21.0,18,47778,10173,34263,2983,1.2,3.6,Aké,0,2018-08-27
0,0,0,,,0,222434,0,0,0,0,0.0,0,0,2,-0.5,0.0,0,Jack,0.0,0,0,0.0,32,False,0.0,0,0,0,0,0,,,40,0,0,0,222434.jpg,0.0,0,0,Simpson,5.2,False,25.0,a,2,91,0.0,0,20347,1137,56418,5402,0.0,0.0,Simpson,0,2018-08-27
0,0,0,,,0,20037,-1,1,-1,1,0.0,0,0,3,-0.5,0.0,0,Marc,0.0,0,0,0.0,34,False,0.0,0,0,0,0,0,,,44,0,0,0,20037.jpg,0.0,0,0,Pugh,0.6,False,7.0,a,2,91,0.0,0,1283,171,8890,791,0.0,0.0,Pugh,0,2018-08-27
0,0,37,,,1,15237,0,0,0,0,39.1,0,0,3,1.8,2.3,2,Andrew,2.3,3,0,7.1,35,False,29.0,0,0,0,0,255,,,50,0,0,0,15237.jpg,2.3,0,0,Surman,0.3,False,6.0,a,2,91,3.0,7,3915,227,6886,685,0.5,1.4,Surman,0,2018-08-27
0,0,0,0.0,0.0,0,56872,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Junior,0.0,0,0,0.0,36,False,0.0,0,0,0,0,0,Knee injury - Unknown return date,2018-07-05T14:31:07Z,60,0,0,0,56872.jpg,0.0,0,0,Stanislas,0.0,False,19.0,i,2,91,0.0,0,113,11,1065,74,0.0,0.0,Stanislas,0,2018-08-27
0,0,25,,,1,40387,0,0,0,0,36.2,0,0,3,1.5,2.0,2,Dan,2.0,3,0,7.9,37,False,40.8,0,0,0,0,270,,,50,0,0,0,40387.jpg,2.0,0,0,Gosling,0.1,False,4.0,a,2,91,2.0,6,1118,72,1556,133,0.4,1.2,Gosling,1,2018-08-27
0,0,3,,,0,103912,0,0,-2,2,46.4,0,0,3,-0.2,0.3,1,Jordon,0.3,1,0,6.3,38,False,10.4,0,0,0,0,26,,,53,0,0,0,103912.jpg,1.0,0,0,Ibe,0.4,False,10.0,a,2,91,6.0,1,538,59,12757,627,0.1,0.2,Ibe,0,2018-08-27
0,0,8,,,0,155408,0,0,-1,1,1.6,0,0,3,0.2,0.7,1,Lewis,0.7,0,0,0.4,39,False,2.4,0,0,0,0,15,,,49,0,0,0,155408.jpg,1.0,0,0,Cook,0.3,False,16.0,a,2,91,0.0,2,949,85,5293,348,0.1,0.4,Lewis Cook,0,2018-08-27
1,4,88,,,1,90105,0,0,1,-1,119.8,0,0,3,5.8,6.3,2,Ryan,6.3,3,1,28.2,40,False,98.6,0,0,0,0,270,,,56,0,0,0,90105.jpg,6.3,0,0,Fraser,5.2,False,24.0,a,2,91,64.0,19,223206,17578,61385,9652,1.1,3.4,Fraser,0,2018-08-27
0,0,0,0.0,0.0,0,122342,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,41,False,0.0,0,0,0,0,0,Loaned to Hibernian,2018-08-09T20:43:58Z,45,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22.0,u,2,91,0.0,0,23,1,1503,61,0.0,0.0,Hyndman,0,2018-08-27
