assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,date
0,0,24,,,0,11334,0,0,0,0,0.0,0,0,1,2.7,2.2,3,Petr,3.0,2,0,4.7,1,False,47.0,0,0,0,0,90,,,50,0,0,0,11334.jpg,3.0,0,6,Cech,1.8,False,1.0,a,1,3,0.0,3,5123,5123,4723,4723,0.6,0.6,Cech,0,2018-08-17
0,0,0,,,0,80201,0,0,0,0,0.0,0,0,1,2.7,2.2,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,,50,0,0,0,80201.jpg,0.0,0,0,Leno,2.2,False,19.0,a,1,3,0.0,0,1729,1729,13000,13000,0.0,0.0,Leno,0,2018-08-17
0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Unknown return date,2018-07-05T14:31:07Z,55,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6.0,i,1,3,0.0,0,114,114,1112,1112,0.0,0.0,Koscielny,0,2018-08-17
0,0,17,,,0,98745,0,0,0,0,11.7,0,0,2,2.7,2.2,1,Héctor,1.0,2,0,6.2,4,False,27.0,0,0,0,0,90,,,55,0,0,0,98745.jpg,1.0,0,0,Bellerín,14.3,False,2.0,a,1,3,23.0,1,10967,10967,60540,60540,0.2,0.2,Bellerín,0,2018-08-17
0,0,0,100.0,25.0,0,38411,0,0,0,0,0.0,0,0,2,2.7,0.5,0,Nacho,0.0,0,0,0.0,5,False,0.0,0,0,0,0,0,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,0.0,0,0,Monreal,0.7,False,18.0,a,1,3,0.0,0,196,196,9341,9341,0.0,0.0,Monreal,0,2018-08-17
0,0,0,,,0,156074,0,0,0,0,0.0,0,0,2,1.7,1.2,0,Rob,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,,,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.7,False,16.0,a,1,3,0.0,0,1084,1084,3666,3666,0.0,0.0,Holding,0,2018-08-17
0,0,16,,,0,69140,0,0,0,0,0.2,0,0,2,2.7,2.2,1,Shkodran,1.0,2,0,4.7,7,False,29.4,0,0,0,0,90,,,55,0,0,0,69140.jpg,1.0,0,0,Mustafi,1.4,False,20.0,a,1,3,17.0,1,1527,1527,6092,6092,0.2,0.2,Mustafi,0,2018-08-17
0,0,0,0.0,0.0,0,111457,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 20 Oct,2018-08-02T07:01:09Z,50,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.5,False,31.0,i,1,3,0.0,0,195,195,8181,8181,0.0,0.0,Kolasinac,0,2018-08-17
0,0,0,,,0,233963,0,0,0,0,0.0,0,0,2,2.1,1.6,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,,50,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.2,False,27.0,a,1,3,0.0,0,353,353,1640,1640,0.0,0.0,Mavropanos,0,2018-08-17
0,0,0,,,0,27335,0,0,0,0,5.8,0,0,2,2.1,1.6,1,Stephan,1.0,1,0,0.9,11,False,1.0,0,0,0,0,55,,,50,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,2.3,False,12.0,a,1,3,2.0,1,4180,4180,12216,12216,0.2,0.2,Lichtsteiner,0,2018-08-17
0,0,13,,,0,39476,0,0,0,0,10.3,0,0,2,2.7,2.2,0,Sokratis,0.0,2,0,2.7,12,False,16.6,0,0,0,0,90,,,55,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,2.4,False,5.0,a,1,3,0.0,0,1886,1886,14904,14904,0.0,0.0,Sokratis,1,2018-08-17
0,0,10,,,0,37605,0,0,0,0,24.7,0,0,3,3.0,2.5,2,Mesut,2.0,2,0,4.0,13,False,9.2,0,0,0,0,90,,,85,0,0,0,37605.jpg,2.0,0,0,Özil,4.8,False,10.0,a,1,3,6.0,2,7695,7695,29721,29721,0.2,0.2,Özil,0,2018-08-17
0,0,7,100.0,100.0,0,41792,0,0,0,0,10.8,0,0,3,2.6,2.1,1,Aaron,1.0,1,0,2.9,14,False,9.4,0,0,0,0,53,,2018-08-02T07:01:09Z,75,0,0,0,41792.jpg,1.0,0,0,Ramsey,1.3,False,8.0,a,1,3,9.0,1,2889,2889,6079,6079,0.1,0.1,Ramsey,0,2018-08-17
0,0,0,,,0,153133,0,0,0,0,0.0,0,0,3,1.7,1.2,0,Alex,0.0,0,0,0.0,15,False,0.0,0,0,0,0,0,,,55,0,0,0,153133.jpg,0.0,0,0,Iwobi,0.7,False,17.0,a,1,3,0.0,0,609,609,5986,5986,0.0,0.0,Iwobi,0,2018-08-17
0,0,0,,,0,153256,0,0,0,0,0.0,0,0,3,1.3,0.8,0,Mohamed,0.0,0,0,0.0,16,False,0.0,0,0,0,0,0,,,45,0,0,0,153256.jpg,0.0,0,0,Elneny,2.6,False,4.0,a,1,3,0.0,0,3020,3020,15270,15270,0.0,0.0,Elneny,0,2018-08-17
0,0,10,,,0,84450,0,0,0,0,1.3,0,0,3,1.7,1.2,1,Granit,1.0,2,0,1.0,17,False,8.8,0,0,0,0,69,,,55,0,0,0,84450.jpg,1.0,0,0,Xhaka,4.2,False,34.0,a,1,3,0.0,1,3576,3576,28458,28458,0.2,0.2,Xhaka,1,2018-08-17
