,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,date
0,0,0,24,,,0,11334,0,0,0,0,0.0,0,0,1,2.6,2.1,3,Petr,3.0,2,0,4.7,1,False,47.0,0,0,0,0,90,,,50,0,0,0,11334.jpg,3.0,0,6,Cech,1.8,False,1.0,a,1,3,0.0,3,5852,5852,5552,5552,0.6,0.6,Cech,0,2018-08-18
1,0,0,0,,,0,80201,0,0,0,0,0.0,0,0,1,2.6,2.1,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,,50,0,0,0,80201.jpg,0.0,0,0,Leno,2.1,False,19.0,a,1,3,0.0,0,1822,1822,15384,15384,0.0,0.0,Leno,0,2018-08-18
2,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Unknown return date,2018-07-05T14:31:07Z,55,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6.0,i,1,3,0.0,0,118,118,1250,1250,0.0,0.0,Koscielny,0,2018-08-18
3,0,0,17,,,0,98745,0,0,0,0,11.7,0,0,2,2.6,2.1,1,Héctor,1.0,2,0,6.2,4,False,27.0,0,0,0,0,90,,,55,0,0,0,98745.jpg,1.0,0,0,Bellerín,14.0,False,2.0,a,1,3,23.0,1,12257,12257,71622,71622,0.2,0.2,Bellerín,0,2018-08-18
4,0,0,0,100.0,25.0,0,38411,0,0,0,0,0.0,0,0,2,2.6,0.5,0,Nacho,0.0,0,0,0.0,5,False,0.0,0,0,0,0,0,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,0.0,0,0,Monreal,0.7,False,18.0,a,1,3,0.0,0,348,348,9799,9799,0.0,0.0,Monreal,0,2018-08-18
5,0,0,0,,,0,156074,0,0,0,0,0.0,0,0,2,1.8,1.3,0,Rob,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,,,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.7,False,16.0,a,1,3,0.0,0,1155,1155,4226,4226,0.0,0.0,Holding,0,2018-08-18
6,0,0,16,,,0,69140,0,0,0,0,0.2,0,0,2,2.6,2.1,1,Shkodran,1.0,2,0,4.7,7,False,29.4,0,0,0,0,90,,,55,0,0,0,69140.jpg,1.0,0,0,Mustafi,1.4,False,20.0,a,1,3,17.0,1,1662,1662,7070,7070,0.2,0.2,Mustafi,0,2018-08-18
7,0,0,0,0.0,0.0,0,111457,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 07 Oct,2018-08-02T07:01:09Z,50,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.5,False,31.0,i,1,3,0.0,0,205,205,9148,9148,0.0,0.0,Kolasinac,0,2018-08-18
8,0,0,0,,,0,233963,0,0,0,0,0.0,0,0,2,2.2,1.7,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,,50,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.2,False,27.0,a,1,3,0.0,0,371,371,1939,1939,0.0,0.0,Mavropanos,0,2018-08-18
9,0,0,0,,,0,27335,0,0,0,0,5.8,0,0,2,2.2,1.7,1,Stephan,1.0,1,0,0.9,11,False,1.0,0,0,0,0,55,,,50,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,2.3,False,12.0,a,1,3,2.0,1,4666,4666,14157,14157,0.2,0.2,Lichtsteiner,0,2018-08-18
